job_id,job_title,seniority,industry,must_have_skills,nice_to_have_skills,description,responsibilities,requirements
J_000000,Project Manager,Senior,Retail,"[Timeline Management, Process Improvement, Stakeholder Communication]",[Asana],We are hiring a Project Manager to support teams in Retail.,"[Deliver high-quality work aligned with goals and timelines, Collaborate with stakeholders and communicate progress clearly, Improve processes and contribute to measurable outcomes]","[Relevant experience and ability to learn quickly, Strong communication and ownership mindset, 'Comfort working with tools, data, and cross-functional teams']"
J_000001,Customer Success Associate,Senior,EdTech,"[Troubleshooting, Customer Satisfaction, Intercom]",[Root Cause Analysis],We are hiring a Customer Success Associate to support teams in EdTech.,"[Deliver high-quality work aligned with goals and timelines, Collaborate with stakeholders and communicate progress clearly, Improve processes and contribute to measurable outcomes]","[Relevant experience and ability to learn quickly, Strong communication and ownership mindset, 'Comfort working with tools, data, and cross-functional teams']"
J_000002,FP&A Analyst,Junior,Travel,"[Variance Analysis, Excel, KPIs]",[Valuation],We are hiring a FP&A Analyst to support teams in Travel.,"[Deliver high-quality work aligned with goals and timelines, Collaborate with stakeholders and communicate progress clearly, Improve processes and contribute to measurable outcomes]","[Relevant experience and ability to learn quickly, Strong communication and ownership mindset, 'Comfort working with tools, data, and cross-functional teams']"
J_000003,Full Stack Engineer,Junior,Cybersecurity,"[Git, OOP, CI/CD, Java]",[Docker],We are hiring a Full Stack Engineer to support teams in Cybersecurity.,"[Deliver high-quality work aligned with goals and timelines, Collaborate with stakeholders and communicate progress clearly, Improve processes and contribute to measurable outcomes]","[Relevant experience and ability to learn quickly, Strong communication and ownership mindset, 'Comfort working with tools, data, and cross-functional teams']"
J_000004,Associate Product Manager,Senior,SaaS,"[A/B Testing, PRD, Product Strategy, Agile, Prioritization]",[User Research],We are hiring a Associate Product Manager to support teams in SaaS.,"[Deliver high-quality work aligned with goals and timelines, Collaborate with stakeholders and communicate progress clearly, Improve processes and contribute to measurable outcomes]","[Relevant experience and ability to learn quickly, Strong communication and ownership mindset, 'Comfort working with tools, data, and cross-functional teams']"
J_000005,Sales Representative,Senior,Healthcare,"[Account Management, Outbound Outreach, CRM, Discovery Calls]",[Negotiation],We are hiring a Sales Representative to support teams in Healthcare.,"[Deliver high-quality work aligned with goals and timelines, Collaborate with stakeholders and communicate progress clearly, Improve processes and contribute to measurable outcomes]","[Relevant experience and ability to learn quickly, Strong communication and ownership mindset, 'Comfort working with tools, data, and cross-functional teams']"
J_000006,Customer Success Associate,Mid,E-commerce,"[Documentation, Ticketing, Intercom, Escalations]",[Communication],We are hiring a Customer Success Associate to support teams in E-commerce.,"[Deliver high-quality work aligned with goals and timelines, Collaborate with stakeholders and communicate progress clearly, Improve processes and contribute to measurable outcomes]","[Relevant experience and ability to learn quickly, Strong communication and ownership mindset, 'Comfort working with tools, data, and cross-functional teams']"
J_000007,BI Analyst,Senior,FinTech,"[A/B Testing, Power BI, Excel, SQL, Data Visualization]",[Pandas],We are hiring a BI Analyst to support teams in FinTech.,"[Deliver high-quality work aligned with goals and timelines, Collaborate with stakeholders and communicate progress clearly, Improve processes and contribute to measurable outcomes]","[Relevant experience and ability to learn quickly, Strong communication and ownership mindset, 'Comfort working with tools, data, and cross-functional teams']"
J_000008,Content Marketer,Senior,Logistics,"[SEO, Google Ads, Landing Pages, Content Marketing]",[Copywriting],We are hiring a Content Marketer to support teams in Logistics.,"[Deliver high-quality work aligned with goals and timelines, Collaborate with stakeholders and communicate progress clearly, Improve processes and contribute to measurable outcomes]","[Relevant experience and ability to learn quickly, Strong communication and ownership mindset, 'Comfort working with tools, data, and cross-functional teams']"
J_000009,Project Manager,Mid,Cybersecurity,"[Asana, Process Improvement, Timeline Management]",[Risk Management],We are hiring a Project Manager to support teams in Cybersecurity.,"[Deliver high-quality work aligned with goals and timelines, Collaborate with stakeholders and communicate progress clearly, Improve processes and contribute to measurable outcomes]","[Relevant experience and ability to learn quickly, Strong communication and ownership mindset, 'Comfort working with tools, data, and cross-functional teams']"
J_000010,Program Coordinator,Senior,Healthcare,"[Jira, Asana, Reporting, Project Planning]",[Process Improvement],We are hiring a Program Coordinator to support teams in Healthcare.,"[Deliver high-quality work aligned with goals and timelines, Collaborate with stakeholders and communicate progress clearly, Improve processes and contribute to measurable outcomes]","[Relevant experience and ability to learn quickly, Strong communication and ownership mindset, 'Comfort working with tools, data, and cross-functional teams']"
J_000011,Junior Accountant,Junior,Healthcare,"[Excel, Valuation, KPIs]",[Variance Analysis],We are hiring a Junior Accountant to support teams in Healthcare.,"[Deliver high-quality work aligned with goals and timelines, Collaborate with stakeholders and communicate progress clearly, Improve processes and contribute to measurable outcomes]","[Relevant experience and ability to learn quickly, Strong communication and ownership mindset, 'Comfort working with tools, data, and cross-functional teams']"
J_000012,BI Analyst,Mid,E-commerce,"[Data Visualization, Tableau, Pandas, ETL]",[Python],We are hiring a BI Analyst to support teams in E-commerce.,"[Deliver high-quality work aligned with goals and timelines, Collaborate with stakeholders and communicate progress clearly, Improve processes and contribute to measurable outcomes]","[Relevant experience and ability to learn quickly, Strong communication and ownership mindset, 'Comfort working with tools, data, and cross-functional teams']"
J_000013,Business Analyst,Senior,Gaming,"[SQL, A/B Testing, Python, Power BI, Data Visualization]",[Pandas],We are hiring a Business Analyst to support teams in Gaming.,"[Deliver high-quality work aligned with goals and timelines, Collaborate with stakeholders and communicate progress clearly, Improve processes and contribute to measurable outcomes]","[Relevant experience and ability to learn quickly, Strong communication and ownership mindset, 'Comfort working with tools, data, and cross-functional teams']"
J_000014,Project Manager,Junior,Travel,"[Project Planning, Reporting, Risk Management, KPIs]",[Cross-functional Coordination],We are hiring a Project Manager to support teams in Travel.,"[Deliver high-quality work aligned with goals and timelines, Collaborate with stakeholders and communicate progress clearly, Improve processes and contribute to measurable outcomes]","[Relevant experience and ability to learn quickly, Strong communication and ownership mindset, 'Comfort working with tools, data, and cross-functional teams']"
J_000015,Customer Success Associate,Senior,Retail,"[SLA, Documentation, Ticketing, Customer Satisfaction]",[Zendesk],We are hiring a Customer Success Associate to support teams in Retail.,"[Deliver high-quality work aligned with goals and timelines, Collaborate with stakeholders and communicate progress clearly, Improve processes and contribute to measurable outcomes]","[Relevant experience and ability to learn quickly, Strong communication and ownership mindset, 'Comfort working with tools, data, and cross-functional teams']"
J_000016,Financial Analyst,Mid,EdTech,"[Valuation, Excel, Reporting, Financial Modeling, Cash Flow]",[Forecasting],We are hiring a Financial Analyst to support teams in EdTech.,"[Deliver high-quality work aligned with goals and timelines, Collaborate with stakeholders and communicate progress clearly, Improve processes and contribute to measurable outcomes]","[Relevant experience and ability to learn quickly, Strong communication and ownership mindset, 'Comfort working with tools, data, and cross-functional teams']"
J_000017,Technical Support Specialist,Junior,Cybersecurity,"[Root Cause Analysis, SLA, Customer Satisfaction, Communication]",[Troubleshooting],We are hiring a Technical Support Specialist to support teams in Cybersecurity.,"[Deliver high-quality work aligned with goals and timelines, Collaborate with stakeholders and communicate progress clearly, Improve processes and contribute to measurable outcomes]","[Relevant experience and ability to learn quickly, Strong communication and ownership mindset, 'Comfort working with tools, data, and cross-functional teams']"
J_000018,Technical Support Specialist,Junior,E-commerce,"[Troubleshooting, Escalations, Ticketing, Intercom]",[Documentation],We are hiring a Technical Support Specialist to support teams in E-commerce.,"[Deliver high-quality work aligned with goals and timelines, Collaborate with stakeholders and communicate progress clearly, Improve processes and contribute to measurable outcomes]","[Relevant experience and ability to learn quickly, Strong communication and ownership mindset, 'Comfort working with tools, data, and cross-functional teams']"
J_000019,Project Manager,Mid,Logistics,"[KPIs, Reporting, Asana, Stakeholder Communication, Cross-functional Coordination]",[Risk Management],We are hiring a Project Manager to support teams in Logistics.,"[Deliver high-quality work aligned with goals and timelines, Collaborate with stakeholders and communicate progress clearly, Improve processes and contribute to measurable outcomes]","[Relevant experience and ability to learn quickly, Strong communication and ownership mindset, 'Comfort working with tools, data, and cross-functional teams']"
J_000020,Business Development Manager,Senior,Retail,"[Forecasting, Outbound Outreach, Discovery Calls, CRM, Account Management]",[Closing],We are hiring a Business Development Manager to support teams in Retail.,"[Deliver high-quality work aligned with goals and timelines, Collaborate with stakeholders and communicate progress clearly, Improve processes and contribute to measurable outcomes]","[Relevant experience and ability to learn quickly, Strong communication and ownership mindset, 'Comfort working with tools, data, and cross-functional teams']"
J_000021,Program Coordinator,Senior,Healthcare,"[Process Improvement, Reporting, Timeline Management, Asana]",[Risk Management],We are hiring a Program Coordinator to support teams in Healthcare.,"[Deliver high-quality work aligned with goals and timelines, Collaborate with stakeholders and communicate progress clearly, Improve processes and contribute to measurable outcomes]","[Relevant experience and ability to learn quickly, Strong communication and ownership mindset, 'Comfort working with tools, data, and cross-functional teams']"
J_000022,Junior Accountant,Mid,SaaS,"[Forecasting, KPIs, Excel]",[Cash Flow],We are hiring a Junior Accountant to support teams in SaaS.,"[Deliver high-quality work aligned with goals and timelines, Collaborate with stakeholders and communicate progress clearly, Improve processes and contribute to measurable outcomes]","[Relevant experience and ability to learn quickly, Strong communication and ownership mindset, 'Comfort working with tools, data, and cross-functional teams']"
J_000023,Program Coordinator,Senior,Gaming,"[Jira, Timeline Management, Asana, KPIs]",[Reporting],We are hiring a Program Coordinator to support teams in Gaming.,"[Deliver high-quality work aligned with goals and timelines, Collaborate with stakeholders and communicate progress clearly, Improve processes and contribute to measurable outcomes]","[Relevant experience and ability to learn quickly, Strong communication and ownership mindset, 'Comfort working with tools, data, and cross-functional teams']"
J_000024,Performance Marketer,Senior,Healthcare,"[Marketing Analytics, Conversion Optimization, Google Ads, Meta Ads, SEO]",[Copywriting],We are hiring a Performance Marketer to support teams in Healthcare.,"[Deliver high-quality work aligned with goals and timelines, Collaborate with stakeholders and communicate progress clearly, Improve processes and contribute to measurable outcomes]","[Relevant experience and ability to learn quickly, Strong communication and ownership mindset, 'Comfort working with tools, data, and cross-functional teams']"
J_000025,Backend Engineer,Senior,Logistics,"[Git, Docker, Databases]",[Java],We are hiring a Backend Engineer to support teams in Logistics.,"[Deliver high-quality work aligned with goals and timelines, Collaborate with stakeholders and communicate progress clearly, Improve processes and contribute to measurable outcomes]","[Relevant experience and ability to learn quickly, Strong communication and ownership mindset, 'Comfort working with tools, data, and cross-functional teams']"
J_000026,BI Analyst,Mid,SaaS,"[A/B Testing, ETL, Python]",[Excel],We are hiring a BI Analyst to support teams in SaaS.,"[Deliver high-quality work aligned with goals and timelines, Collaborate with stakeholders and communicate progress clearly, Improve processes and contribute to measurable outcomes]","[Relevant experience and ability to learn quickly, Strong communication and ownership mindset, 'Comfort working with tools, data, and cross-functional teams']"
J_000027,Business Development Manager,Senior,Healthcare,"[Outbound Outreach, Pipeline Management, Prospecting, Negotiation]",[Account Management],We are hiring a Business Development Manager to support teams in Healthcare.,"[Deliver high-quality work aligned with goals and timelines, Collaborate with stakeholders and communicate progress clearly, Improve processes and contribute to measurable outcomes]","[Relevant experience and ability to learn quickly, Strong communication and ownership mindset, 'Comfort working with tools, data, and cross-functional teams']"
J_000028,Backend Engineer,Senior,FinTech,"[Databases, Java, Docker]",[Git],We are hiring a Backend Engineer to support teams in FinTech.,"[Deliver high-quality work aligned with goals and timelines, Collaborate with stakeholders and communicate progress clearly, Improve processes and contribute to measurable outcomes]","[Relevant experience and ability to learn quickly, Strong communication and ownership mindset, 'Comfort working with tools, data, and cross-functional teams']"
J_000029,Data Analyst,Junior,Healthcare,"[A/B Testing, Excel, Statistics, Tableau, SQL]",[Pandas],We are hiring a Data Analyst to support teams in Healthcare.,"[Deliver high-quality work aligned with goals and timelines, Collaborate with stakeholders and communicate progress clearly, Improve processes and contribute to measurable outcomes]","[Relevant experience and ability to learn quickly, Strong communication and ownership mindset, 'Comfort working with tools, data, and cross-functional teams']"
J_000030,Backend Engineer,Senior,E-commerce,"[CI/CD, JavaScript, Python]",[Databases],We are hiring a Backend Engineer to support teams in E-commerce.,"[Deliver high-quality work aligned with goals and timelines, Collaborate with stakeholders and communicate progress clearly, Improve processes and contribute to measurable outcomes]","[Relevant experience and ability to learn quickly, Strong communication and ownership mindset, 'Comfort working with tools, data, and cross-functional teams']"
J_000031,Business Analyst,Mid,Gaming,"[Power BI, ETL, Python]",[SQL],We are hiring a Business Analyst to support teams in Gaming.,"[Deliver high-quality work aligned with goals and timelines, Collaborate with stakeholders and communicate progress clearly, Improve processes and contribute to measurable outcomes]","[Relevant experience and ability to learn quickly, Strong communication and ownership mindset, 'Comfort working with tools, data, and cross-functional teams']"
J_000032,Account Executive,Senior,Gaming,"[Lead Generation, Account Management, Outbound Outreach, Discovery Calls, Closing]",[Prospecting],We are hiring a Account Executive to support teams in Gaming.,"[Deliver high-quality work aligned with goals and timelines, Collaborate with stakeholders and communicate progress clearly, Improve processes and contribute to measurable outcomes]","[Relevant experience and ability to learn quickly, Strong communication and ownership mindset, 'Comfort working with tools, data, and cross-functional teams']"
J_000033,Software Engineer,Mid,Travel,"[OOP, Python, Git, Unit Testing]",[Docker],We are hiring a Software Engineer to support teams in Travel.,"[Deliver high-quality work aligned with goals and timelines, Collaborate with stakeholders and communicate progress clearly, Improve processes and contribute to measurable outcomes]","[Relevant experience and ability to learn quickly, Strong communication and ownership mindset, 'Comfort working with tools, data, and cross-functional teams']"
J_000034,Backend Engineer,Junior,FinTech,"[Git, JavaScript, Python, Java, Unit Testing]",[Docker],We are hiring a Backend Engineer to support teams in FinTech.,"[Deliver high-quality work aligned with goals and timelines, Collaborate with stakeholders and communicate progress clearly, Improve processes and contribute to measurable outcomes]","[Relevant experience and ability to learn quickly, Strong communication and ownership mindset, 'Comfort working with tools, data, and cross-functional teams']"
J_000035,Technical Product Manager,Junior,Logistics,"[Scrum, PRD, Product Strategy, Stakeholder Management, User Research]",[Prioritization],We are hiring a Technical Product Manager to support teams in Logistics.,"[Deliver high-quality work aligned with goals and timelines, Collaborate with stakeholders and communicate progress clearly, Improve processes and contribute to measurable outcomes]","[Relevant experience and ability to learn quickly, Strong communication and ownership mindset, 'Comfort working with tools, data, and cross-functional teams']"
